State,<1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,"Unborn, Unknown, and 18–21", Total Victims
Alabama,"1,945",,714,731,,621,578,567,544,553,,500,491,563,629,568,403,261,29,"11,677"
Alaska,416,,232,193,,194,175,166,168,156,,157,131,129,106,88,92,58,11,"3,059"
Arizona,"3,380",,836,738,,650,564,570,572,532,,466,517,479,441,426,380,300,18,"12,847"
Arkansas,"1,814",,528,487,,425,381,397,356,321,,336,327,348,374,362,301,228,76,"8,422"
California,"10,134",,"3,931","3,796",,"3,653","3,356","3,449",,"3,189",,"3,119","3,038","2,826","2,681","2,609","2,379","1,824",60,"64,115"
Colorado,"1,773",,781,719,,632,675,660,,667,,625,593,547,516,476,384,263,62,"12,246"
Connecticut,"1,062",,,420,,463,480,450,,424,,406,392,411,368,359,298,213,30,"8,042"
Delaware,126,,68,69,,,78,70,,76,,56,60,68,56,63,48,35,4,"1,248"
District of Columbia,206,,87,126,,,131,131,,116,,77,88,76,80,70,54,50,12,"1,857"
Florida,"5,126",,"2,378","2,310",,,"1,844","1,659",,"1,602",,"1,440","1,391","1,271","1,249","1,256","1,017",811,111,"32,915"
Georgia,"2,402",585,510,534,,,492,480,,454,,452,499,432,400,424,311,149,15,"10,102"
Hawaii,207,86,69,76,,,79,58,,57,,69,70,58,59,63,61,37,4,"1,342"
Idaho,466,105,96,105,,,87,68,,66,84,84,73,88,80,93,67,51,,"1,869"
Illinois,"4,291","2,516","2,350","2,260",,,"1,926","1,819",,"1,810","1,739","1,542","1,533","1,400","1,283","1,158","1,001",682,67,"33,331"
Indiana,"4,935","1,549","1,392","1,281","1,250",,"1,179","1,139",,"1,010","1,063","1,015",995,911,911,928,707,472,28,"23,029"
Iowa,"1,723",828,759,758,776,,692,583,,616,634,571,536,487,475,395,333,206,9,"11,648"
Kansas,219,168,143,163,153,,183,148,,193,162,144,184,162,153,188,130,89,5,"2,945"
Kentucky,"3,016","1,378","1,403","1,312","1,269",,"1,113","1,066",,"1,065",969,940,951,853,734,719,643,463,59,"20,130"
Louisiana,"2,759",491,476,415,378,,343,374,,319,311,341,327,280,266,292,233,114,12,"8,441"
Maine,506,277,272,287,279,277,268,250,,261,245,274,226,211,192,143,115,79,9,"4,413"
Maryland,566,405,408,499,437,468,445,451,,393,417,426,403,409,416,413,384,283,30,"7,661"
Massachusetts,"3,022","1,463","1,420","1,373","1,357","1,344","1,458","1,434",,"1,372","1,372","1,367","1,259","1,225","1,197","1,187","1,001",806,37,"25,029"
Michigan,"4,176","2,412","2,275","2,124","2,035","1,957","1,926","1,829",,"1,698","1,630","1,534","1,547","1,492","1,419","1,313","1,124",697,65,"33,043"
